id,city,date,toss_winner,toss_decision,umpire1,umpire2,venue,winner,team1,team2,player_of_match,result_margin,result,eliminator,method,neutral_venue
1304047,Wankhede,2022-03-25,Kolkata Knight Riders,field,Anil Chaudhary,Nitin Menon,Wankhede Stadium,Kolkata Knight Riders,Kolkata Knight Riders,Chennai Super Kings,Umesh Yadav,6,wickets,N,,0
1304048,Brabourne,2022-03-26,Delhi Capitals,field,Rod Tucker,Saiyed Khalid,Brabourne Stadium,Delhi Capitals,Delhi Capitals,Mumbai Indians,Kuldeep Yadav,4,wickets,N,,0
1304049,DY Patil,2022-03-26,Punjab Kings,field,Nitin Menon,Yeshwant Barde,Dr DY Patil Sports Academy,Punjab Kings,Punjab Kings,Royal Challengers Bangalore,Odean Smith,5,wickets,N,,0
1304050,Wankhede,2022-03-27,Gujarat Titans,field,Pashchim Pathak,Virender Sharma,Wankhede Stadium,Gujarat Titans,Gujarat Titans,Lucknow Super Giants,Mohammed Shami,5,wickets,N,,0
1304051,Pune,2022-03-28,Sunrisers Hyderabad,field,Bruce Oxenford,Ulhas Gandhe,Maharashtra Cricket Association Stadium,Rajasthan Royals,Rajasthan Royals,Sunrisers Hyderabad,Sanju Samson,61,runs,N,,0
1304052,DY Patil,2022-03-29,Royal Challengers Bangalore,field,Jayaraman Madanagopal,Navdeep Singh,Dr DY Patil Sports Academy,Royal Challengers Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,Wanindu Hasaranga de Silva,3,wickets,N,,0
1304054,Wankhede,2022-03-31,Kolkata Knight Riders,field,Anil Chaudhary,Saiyed Khalid,Wankhede Stadium,Kolkata Knight Riders,Kolkata Knight Riders,Punjab Kings,Umesh Yadav,6,wickets,N,,0
1304055,DY Patil,2022-04-01,Mumbai Indians,field,Nitin Menon,Pashchim Pathak,Dr DY Patil Sports Academy,Rajasthan Royals,Rajasthan Royals,Mumbai Indians,Jos Buttler,23,runs,N,,0
1304056,Pune,2022-04-01,Delhi Capitals,field,KN Ananthapadmanabhan,Ulhas Gandhe,Maharashtra Cricket Association Stadium,Gujarat Titans,Gujarat Titans,Delhi Capitals,Lockie Ferguson,14,runs,N,,0
1304057,Brabourne,2022-04-02,Chennai Super Kings,field,Rod Tucker,Yeshwant Barde,Brabourne Stadium,Punjab Kings,Punjab Kings,Chennai Super Kings,Liam Livingstone,54,runs,N,,0
1304059,Wankhede,2022-04-04,Royal Challengers Bangalore,field,Anil Chaudhary,Saiyed Khalid,Wankhede Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore,Rajasthan Royals,Dinesh Karthik,4,wickets,N,,0
1304060,Pune,2022-04-05,Kolkata Knight Riders,field,Bruce Oxenford,KN Ananthapadmanabhan,Maharashtra Cricket Association Stadium,Kolkata Knight Riders,Kolkata Knight Riders,Mumbai Indians,Pat Cummins,5,wickets,N,,0
1304061,DY Patil,2022-04-06,Lucknow Super Giants,field,Rod Tucker,Tapan Sharma,Dr DY Patil Sports Academy,Lucknow Super Giants,Lucknow Super Giants,Delhi Capitals,Quinton de Kock,6,wickets,N,,0
1304062,Brabourne,2022-04-07,Gujarat Titans,field,Anil Chaudhary,Virender Sharma,Brabourne Stadium,Gujarat Titans,Gujarat Titans,Punjab Kings,Shubman Gill,6,wickets,N,,0
1304063,DY Patil,2022-04-08,Sunrisers Hyderabad,field,Navdeep Singh,Nitin Menon,Dr DY Patil Sports Academy,Sunrisers Hyderabad,Sunrisers Hyderabad,Chennai Super Kings,Abhishek Sharma,8,wickets,N,,0
1304064,Pune,2022-04-08,Royal Challengers Bangalore,field,Bruce Oxenford,KN Ananthapadmanabhan,Maharashtra Cricket Association Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore,Mumbai Indians,Anuj Rawat,7,wickets,N,,0
1304065,Brabourne,2022-04-09,Kolkata Knight Riders,field,Chris Gaffaney,Jayaraman Madanagopal,Brabourne Stadium,Delhi Capitals,Delhi Capitals,Kolkata Knight Riders,Kuldeep Yadav,44,runs,N,,0
1304066,Wankhede,2022-04-09,Lucknow Super Giants,field,Anil Chaudhary,Tapan Sharma,Wankhede Stadium,Rajasthan Royals,Rajasthan Royals,Lucknow Super Giants,Yuzvendra Chahal,3,runs,N,,0
1304067,DY Patil,2022-04-10,Sunrisers Hyderabad,field,Chirra Ravikanthreddy,Rod Tucker,Dr DY Patil Sports Academy,Sunrisers Hyderabad,Sunrisers Hyderabad,Gujarat Titans,Kane Williamson,8,wickets,N,,0
1304068,DY Patil,2022-04-11,Royal Challengers Bangalore,field,Nitin Menon,Nitin Pandit,Dr DY Patil Sports Academy,Chennai Super Kings,Chennai Super Kings,Royal Challengers Bangalore,Shivam Dube,23,runs,N,,0
1304069,Pune,2022-04-12,Mumbai Indians,field,Bruce Oxenford,Ulhas Gandhe,Maharashtra Cricket Association Stadium,Punjab Kings,Punjab Kings,Mumbai Indians,Mayank Agarwal,12,runs,N,,0
1304070,DY Patil,2022-04-13,Rajasthan Royals,field,Chris Gaffaney,Rohan Pandit,Dr DY Patil Sports Academy,Gujarat Titans,Gujarat Titans,Rajasthan Royals,Hardik Pandya,37,runs,N,,0
1304071,Brabourne,2022-04-14,Sunrisers Hyderabad,field,Sadashiv Iyer,Virender Sharma,Brabourne Stadium,Sunrisers Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,Rahul Tripathi,7,wickets,N,,0
1304073,Wankhede,2022-04-15,Delhi Capitals,field,Chirra Ravikanthreddy,Jayaraman Madanagopal,Wankhede Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore,Delhi Capitals,Dinesh Karthik,16,runs,N,,0
1304074,DY Patil,2022-04-16,Sunrisers Hyderabad,field,Pashchim Pathak,Rohan Pandit,Dr DY Patil Sports Academy,Sunrisers Hyderabad,Sunrisers Hyderabad,Punjab Kings,Umran Malik,7,wickets,N,,0
1304075,Pune,2022-04-16,Gujarat Titans,field,KN Ananthapadmanabhan,Ulhas Gandhe,Maharashtra Cricket Association Stadium,Gujarat Titans,Gujarat Titans,Chennai Super Kings,David Miller,3,wickets,N,,0
1304076,Brabourne,2022-04-17,Kolkata Knight Riders,field,Sadashiv Iyer,Virender Sharma,Brabourne Stadium,Rajasthan Royals,Rajasthan Royals,Kolkata Knight Riders,Yuzvendra Chahal,7,runs,N,,0
1304078,Brabourne,2022-04-19,Delhi Capitals,field,Rod Tucker,Tapan Sharma,Brabourne Stadium,Delhi Capitals,Delhi Capitals,Punjab Kings,Kuldeep Yadav,9,wickets,N,,0
1304079,DY Patil,2022-04-20,Chennai Super Kings,field,Bruce Oxenford,Ulhas Gandhe,Dr DY Patil Sports Academy,Chennai Super Kings,Chennai Super Kings,Mumbai Indians,Mukesh Choudhary,3,wickets,N,,0
1304080,Wankhede,2022-04-21,Delhi Capitals,field,Nikhil Patwardhan,Nitin Menon,Wankhede Stadium,Rajasthan Royals,Rajasthan Royals,Delhi Capitals,Jos Buttler,15,runs,N,,0
1304081,DY Patil,2022-04-22,Gujarat Titans,bat,KN Ananthapadmanabhan,Ulhas Gandhe,Dr DY Patil Sports Academy,Gujarat Titans,Gujarat Titans,Kolkata Knight Riders,Rashid Khan,8,runs,N,,0
1304082,Brabourne,2022-04-22,Sunrisers Hyderabad,field,Chirra Ravikanthreddy,Jayaraman Madanagopal,Brabourne Stadium,Sunrisers Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,Marco Jansen,9,wickets,N,,0
1304084,Wankhede,2022-04-24,Chennai Super Kings,field,Marais Erasmus,Tapan Sharma,Wankhede Stadium,Punjab Kings,Punjab Kings,Chennai Super Kings,Shikhar Dhawan,11,runs,N,,0
1304085,Pune,2022-04-25,Royal Challengers Bangalore,field,Bruce Oxenford,KN Ananthapadmanabhan,Maharashtra Cricket Association Stadium,Rajasthan Royals,Rajasthan Royals,Royal Challengers Bangalore,Riyan Parag,29,runs,N,,0
1304086,Wankhede,2022-04-26,Gujarat Titans,field,Chris Gaffaney,Navdeep Singh,Wankhede Stadium,Gujarat Titans,Gujarat Titans,Sunrisers Hyderabad,Umran Malik,5,wickets,N,,0
1304087,Wankhede,2022-04-27,Delhi Capitals,field,Anil Chaudhary,Pashchim Pathak,Wankhede Stadium,Delhi Capitals,Delhi Capitals,Kolkata Knight Riders,Kuldeep Yadav,4,wickets,N,,0
1304088,Pune,2022-04-28,Punjab Kings,field,Michael Gough,Ulhas Gandhe,Maharashtra Cricket Association Stadium,Lucknow Super Giants,Lucknow Super Giants,Punjab Kings,Krunal Pandya,20,runs,N,,0
1304089,Brabourne,2022-04-29,Royal Challengers Bangalore,bat,Saiyed Khalid,Virender Sharma,Brabourne Stadium,Gujarat Titans,Gujarat Titans,Royal Challengers Bangalore,Rahul Tewatia,6,wickets,N,,0
1304093,Wankhede,2022-05-01,Kolkata Knight Riders,field,Jayaraman Madanagopal,Nitin Pandit,Wankhede Stadium,Kolkata Knight Riders,Kolkata Knight Riders,Rajasthan Royals,Rinku Singh,7,wickets,N,,0
1304094,DY Patil,2022-05-02,Gujarat Titans,bat,Rohan Pandit,Virender Sharma,Dr DY Patil Sports Academy,Punjab Kings,Punjab Kings,Gujarat Titans,Kagiso Rabada,8,wickets,N,,0
1304095,Pune,2022-05-03,Chennai Super Kings,field,KN Ananthapadmanabhan,Michael Gough,Maharashtra Cricket Association Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore,Chennai Super Kings,Harshal Patel,13,runs,N,,0
1304096,Brabourne,2022-05-04,Sunrisers Hyderabad,field,Navdeep Singh,Nikhil Patwardhan,Brabourne Stadium,Delhi Capitals,Delhi Capitals,Sunrisers Hyderabad,David Warner,21,runs,N,,0
1304097,Brabourne,2022-05-05,Gujarat Titans,field,Jayaraman Madanagopal,Sadashiv Iyer,Brabourne Stadium,Mumbai Indians,Mumbai Indians,Gujarat Titans,Tim David,5,runs,N,,0
1304098,Wankhede,2022-05-06,Punjab Kings,bat,Chirra Ravikanthreddy,Yeshwant Barde,Wankhede Stadium,Rajasthan Royals,Rajasthan Royals,Punjab Kings,Yashasvi Jaiswal,6,wickets,N,,0
1304099,Pune,2022-05-06,Kolkata Knight Riders,field,Anil Chaudhary,Michael Gough,Maharashtra Cricket Association Stadium,Lucknow Super Giants,Lucknow Super Giants,Kolkata Knight Riders,Avesh Khan,75,runs,N,,0
1304100,Wankhede,2022-05-07,Royal Challengers Bangalore,bat,Bruce Oxenford,Nitin Pandit,Wankhede Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,Wanindu Hasaranga de Silva,67,runs,N,,0
1304102,DY Patil,2022-05-08,Mumbai Indians,field,Chris Gaffaney,Sadashiv Iyer,Dr DY Patil Sports Academy,Kolkata Knight Riders,Kolkata Knight Riders,Mumbai Indians,Jasprit Bumrah,52,runs,N,,0
1304103,Pune,2022-05-09,Gujarat Titans,bat,KN Ananthapadmanabhan,Michael Gough,Maharashtra Cricket Association Stadium,Gujarat Titans,Gujarat Titans,Lucknow Super Giants,Shubman Gill,62,runs,N,,0
1304104,DY Patil,2022-05-10,Delhi Capitals,field,Nikhil Patwardhan,Nitin Menon,Dr DY Patil Sports Academy,Delhi Capitals,Delhi Capitals,Rajasthan Royals,Mitchell Marsh,8,wickets,N,,0
1304105,Wankhede,2022-05-11,Mumbai Indians,field,Chirra Ravikanthreddy,Chris Gaffaney,Wankhede Stadium,Mumbai Indians,Mumbai Indians,Chennai Super Kings,Daniel Sams,5,wickets,N,,0
1304106,Brabourne,2022-05-12,Royal Challengers Bangalore,field,Jayaraman Madanagopal,Nitin Pandit,Brabourne Stadium,Punjab Kings,Punjab Kings,Royal Challengers Bangalore,Jonny Bairstow,54,runs,N,,0
1304107,Pune,2022-05-13,Kolkata Knight Riders,bat,Anil Chaudhary,KN Ananthapadmanabhan,Maharashtra Cricket Association Stadium,Kolkata Knight Riders,Kolkata Knight Riders,Sunrisers Hyderabad,Andre Russell,54,runs,N,,0
1304108,Wankhede,2022-05-14,Chennai Super Kings,bat,Rohan Pandit,Virender Sharma,Wankhede Stadium,Gujarat Titans,Gujarat Titans,Chennai Super Kings,Wriddhiman Saha,7,wickets,N,,0
1304109,Brabourne,2022-05-14,Rajasthan Royals,bat,Pashchim Pathak,Tapan Sharma,Brabourne Stadium,Rajasthan Royals,Rajasthan Royals,Lucknow Super Giants,Trent Boult,24,runs,N,,0
1304110,DY Patil,2022-05-15,Punjab Kings,field,Nitin Menon,Sadashiv Iyer,Dr DY Patil Sports Academy,Delhi Capitals,Delhi Capitals,Punjab Kings,Shardul Thakur,17,runs,N,,0
1304112,DY Patil,2022-05-17,Lucknow Super Giants,bat,Rohan Pandit,Yeshwant Barde,Dr DY Patil Sports Academy,Lucknow Super Giants,Lucknow Super Giants,Kolkata Knight Riders,Quinton de Kock,2,runs,N,,0
1304113,Wankhede,2022-05-18,Gujarat Titans,bat,KN Ananthapadmanabhan,Sadashiv Iyer,Wankhede Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore,Gujarat Titans,Virat Kohli,8,wickets,N,,0
1304114,Brabourne,2022-05-19,Chennai Super Kings,bat,Chris Gaffaney,Nikhil Patwardhan,Brabourne Stadium,Rajasthan Royals,Rajasthan Royals,Chennai Super Kings,Ravichandran Ashwin,5,wickets,N,,0
1304116,Wankhede,2022-05-21,Sunrisers Hyderabad,bat,Anil Chaudhary,Nikhil Patwardhan,Wankhede Stadium,Punjab Kings,Punjab Kings,Sunrisers Hyderabad,Harpreet Brar,5,wickets,N,,0
1254058,Chennai,2021-04-08,Royal Challengers Bangalore,field,KN Ananthapadmanabhan,Nitin Menon,MA Chidambaram Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore,Mumbai Indians,Harshal Patel,2,wickets,N,,0
1254059,Wankhede,2021-04-09,Delhi Capitals,field,Anil Chaudhary,Virender Sharma,Wankhede Stadium,Delhi Capitals,Delhi Capitals,Chennai Super Kings,Shikhar Dhawan,7,wickets,N,,0
1254060,Chennai,2021-04-10,Sunrisers Hyderabad,field,KN Ananthapadmanabhan,Nitin Menon,MA Chidambaram Stadium,Kolkata Knight Riders,Kolkata Knight Riders,Sunrisers Hyderabad,Nitish Rana,10,runs,N,,0
1254062,Chennai,2021-04-12,Kolkata Knight Riders,field,Chettithody Shamshuddin,Chris Gaffaney,MA Chidambaram Stadium,Mumbai Indians,Mumbai Indians,Kolkata Knight Riders,Rahul Chahar,10,runs,N,,0
1254064,Wankhede,2021-04-14,Rajasthan Royals,field,Sundaram Ravi,Virender Sharma,Wankhede Stadium,Rajasthan Royals,Rajasthan Royals,Delhi Capitals,Jaydev Unadkat,3,wickets,N,,0
1254065,Wankhede,2021-04-15,Chennai Super Kings,field,Anil Chaudhary,Anil Dandekar,Wankhede Stadium,Chennai Super Kings,Chennai Super Kings,Punjab Kings,Deepak Chahar,6,wickets,N,,0
1254066,Chennai,2021-04-16,Mumbai Indians,bat,Chris Gaffaney,Krishnamachari Srinivasan,MA Chidambaram Stadium,Mumbai Indians,Mumbai Indians,Sunrisers Hyderabad,Kieron Pollard,13,runs,N,,0
1254067,Chennai,2021-04-17,Royal Challengers Bangalore,bat,Chettithody Shamshuddin,Nitin Menon,MA Chidambaram Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,AB de Villiers,38,runs,N,,0
1254068,Wankhede,2021-04-17,Delhi Capitals,field,Anil Chaudhary,Paul Reiffel,Wankhede Stadium,Delhi Capitals,Delhi Capitals,Punjab Kings,Shikhar Dhawan,6,wickets,N,,0
1254069,Wankhede,2021-04-18,Rajasthan Royals,field,Paul Reiffel,Virender Sharma,Wankhede Stadium,Chennai Super Kings,Chennai Super Kings,Rajasthan Royals,Moeen Ali,45,runs,N,,0
1254070,Chennai,2021-04-19,Mumbai Indians,bat,Chettithody Shamshuddin,Chris Gaffaney,MA Chidambaram Stadium,Delhi Capitals,Delhi Capitals,Mumbai Indians,Amit Mishra,6,wickets,N,,0
1254071,Chennai,2021-04-20,Punjab Kings,bat,Krishnamachari Srinivasan,Nitin Menon,MA Chidambaram Stadium,Sunrisers Hyderabad,Sunrisers Hyderabad,Punjab Kings,Jonny Bairstow,9,wickets,N,,0
1254072,Wankhede,2021-04-20,Kolkata Knight Riders,field,Anil Dandekar,Paul Reiffel,Wankhede Stadium,Chennai Super Kings,Chennai Super Kings,Kolkata Knight Riders,Faf du Plessis,18,runs,N,,0
1254073,Wankhede,2021-04-21,Royal Challengers Bangalore,field,Jayaraman Madanagopal,Sundaram Ravi,Wankhede Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore,Rajasthan Royals,Devdutt Padikkal,10,wickets,N,,0
1254074,Chennai,2021-04-22,Punjab Kings,field,Chettithody Shamshuddin,Nitin Menon,MA Chidambaram Stadium,Punjab Kings,Punjab Kings,Mumbai Indians,KL Rahul,9,wickets,N,,0
1254075,Wankhede,2021-04-23,Rajasthan Royals,field,Navdeep Singh,Sundaram Ravi,Wankhede Stadium,Rajasthan Royals,Rajasthan Royals,Kolkata Knight Riders,Chris Morris,6,wickets,N,,0
1254076,Wankhede,2021-04-24,Chennai Super Kings,bat,Anil Chaudhary,Virender Sharma,Wankhede Stadium,Chennai Super Kings,Chennai Super Kings,Royal Challengers Bangalore,Ravindra Jadeja,69,runs,N,,0
1254077,Chennai,2021-04-24,Delhi Capitals,bat,Chris Gaffaney,KN Ananthapadmanabhan,MA Chidambaram Stadium,Delhi Capitals,Delhi Capitals,Sunrisers Hyderabad,Prithvi Shaw,,tie,Y,one-over,0
1254079,Ahmedabad,2021-04-26,Delhi Capitals,field,Sundaram Ravi,Virender Sharma,Narendra Modi Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore,Delhi Capitals,AB de Villiers,1,run,N,,0
1254081,Delhi,2021-04-28,Mumbai Indians,field,Chris Gaffaney,KN Ananthapadmanabhan,Arun Jaitley Stadium,Mumbai Indians,Mumbai Indians,Rajasthan Royals,Quinton de Kock,7,wickets,N,,0
1254084,Delhi,2021-04-30,Mumbai Indians,field,KN Ananthapadmanabhan,Nandan,Arun Jaitley Stadium,Mumbai Indians,Mumbai Indians,Chennai Super Kings,Kieron Pollard,4,wickets,N,,0
1254085,Delhi,2021-05-01,Sunrisers Hyderabad,field,Chettithody Shamshuddin,Chris Gaffaney,Arun Jaitley Stadium,Rajasthan Royals,Rajasthan Royals,Sunrisers Hyderabad,Jos Buttler,55,runs,N,,0
1254086,Ahmedabad,2021-05-01,Delhi Capitals,field,Anil Chaudhary,Anil Dandekar,Narendra Modi Stadium,Delhi Capitals,Delhi Capitals,Punjab Kings,Mayank Agarwal,7,wickets,N,,0
1254087,Abu Dhabi,2021-09-19,Royal Challengers Bangalore,bat,Chris Gaffaney,Sundaram Ravi,Zayed Cricket Stadium,Kolkata Knight Riders,Kolkata Knight Riders,Royal Challengers Bangalore,Varun Chakravarthy,9,wickets,N,,0
1254111,Dubai (DSC),2021-09-20,Punjab Kings,field,Anil Chaudhary,Michael Gough,Dubai International Cricket Stadium,Rajasthan Royals,Rajasthan Royals,Punjab Kings,Kartik Tyagi,2,runs,N,,0
1254108,Dubai (DSC),2021-09-25,Mumbai Indians,field,Anil Chaudhary,Michael Gough,Dubai International Cricket Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore,Mumbai Indians,Glenn Maxwell,54,runs,N,,0
1254099,Abu Dhabi,2021-09-27,Mumbai Indians,field,Sundaram Ravi,Virender Sharma,Zayed Cricket Stadium,Mumbai Indians,Mumbai Indians,Punjab Kings,Kieron Pollard,6,wickets,N,,0
1254091,Sharjah,2021-09-29,Chennai Super Kings,field,Nitin Menon,Yeshwant Barde,Sharjah Cricket Stadium,Chennai Super Kings,Chennai Super Kings,Sunrisers Hyderabad,Josh Hazlewood,6,wickets,N,,0
1254089,Abu Dhabi,2021-10-01,Rajasthan Royals,field,Chris Gaffaney,Virender Sharma,Zayed Cricket Stadium,Rajasthan Royals,Rajasthan Royals,Chennai Super Kings,Ruturaj Gaikwad,7,wickets,N,,0
1254090,Sharjah,2021-10-02,Royal Challengers Bangalore,bat,KN Ananthapadmanabhan,Richard Illingworth,Sharjah Cricket Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore,Punjab Kings,Glenn Maxwell,6,runs,N,,0
1254109,Dubai (DSC),2021-10-02,Sunrisers Hyderabad,bat,Jayaraman Madanagopal,Michael Gough,Dubai International Cricket Stadium,Kolkata Knight Riders,Kolkata Knight Riders,Sunrisers Hyderabad,Shubman Gill,6,wickets,N,,0
1254095,Abu Dhabi,2021-10-05,Royal Challengers Bangalore,field,Sundaram Ravi,Ulhas Gandhe,Zayed Cricket Stadium,Sunrisers Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,Kane Williamson,4,runs,N,,0
1254101,Dubai (DSC),2021-10-07,Royal Challengers Bangalore,field,KN Ananthapadmanabhan,Nitin Menon,Dubai International Cricket Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore,Delhi Capitals,Srikar Bharat,7,wickets,N,,0
1254088,Abu Dhabi,2021-10-07,Mumbai Indians,bat,Tapan Sharma,Virender Sharma,Zayed Cricket Stadium,Mumbai Indians,Mumbai Indians,Sunrisers Hyderabad,Ishan Kishan,42,runs,N,,0
1216510,Dubai (DSC),2020-09-23,Royal Challengers Bangalore,field,Anil Chaudhary,Paul Reiffel,Dubai International Cricket Stadium,Kings XI Punjab,Kings XI Punjab,Royal Challengers Bangalore,KL Rahul,97,runs,N,,0
1216539,Dubai (DSC),2020-09-24,Chennai Super Kings,field,KN Ananthapadmanabhan,Richard Illingworth,Dubai International Cricket Stadium,Delhi Capitals,Delhi Capitals,Chennai Super Kings,Prithvi Shaw,44,runs,N,,0
1216545,Abu Dhabi,2020-09-25,Sunrisers Hyderabad,bat,Chris Gaffaney,Virender Sharma,Zayed Cricket Stadium,Kolkata Knight Riders,Kolkata Knight Riders,Sunrisers Hyderabad,Shubman Gill,7,wickets,N,,0
1216527,Sharjah,2020-09-26,Rajasthan Royals,field,Krishnamachari Srinivasan,Richard Illingworth,Sharjah Cricket Stadium,Rajasthan Royals,Rajasthan Royals,Kings XI Punjab,Sanju Samson,4,wickets,N,,0
1216515,Sharjah,2020-10-02,Kolkata Knight Riders,field,Richard Illingworth,Vineet Kulkarni,Sharjah Cricket Stadium,Delhi Capitals,Delhi Capitals,Kolkata Knight Riders,Shreyas Iyer,18,runs,N,,0
1216538,Sharjah,2020-10-03,Mumbai Indians,bat,KN Ananthapadmanabhan,Richard Illingworth,Sharjah Cricket Stadium,Mumbai Indians,Mumbai Indians,Sunrisers Hyderabad,Trent Boult,34,runs,N,,0
1216513,Dubai (DSC),2020-10-03,Kings XI Punjab,bat,Anil Dandekar,Nitin Menon,Dubai International Cricket Stadium,Chennai Super Kings,Chennai Super Kings,Kings XI Punjab,Shane Watson,10,wickets,N,,0
1216519,Dubai (DSC),2020-10-04,Royal Challengers Bangalore,field,Nitin Menon,Yeshwant Barde,Dubai International Cricket Stadium,Delhi Capitals,Delhi Capitals,Royal Challengers Bangalore,Axar Patel,59,runs,N,,0
1216511,Abu Dhabi,2020-10-05,Mumbai Indians,bat,Sundaram Ravi,Virender Sharma,Zayed Cricket Stadium,Mumbai Indians,Mumbai Indians,Rajasthan Royals,Suryakumar Yadav,57,runs,N,,0
1216501,Abu Dhabi,2020-10-06,Kolkata Knight Riders,bat,KN Ananthapadmanabhan,Richard Illingworth,Zayed Cricket Stadium,Kolkata Knight Riders,Kolkata Knight Riders,Chennai Super Kings,Rahul Tripathi,10,runs,N,,0
